Taxa;Fish_FreshDiet;Fish_ConditionedDiet;Fish_AnteriorMidgut;Fish_MiddleMidgut;Fish_PosteriorMidgut;VegMix_FreshDiet;VegMix_ConditionedDiet;VegMix_AnteriorMidgut;VegMix_MiddleMidgut;VegMix_PosteriorMidgut;Standard_FreshDiet;Standard_ConditionedDiet;Standard_AnteriorMidgut;Standard_MiddleMidgut;Standard_PosteriorMidgut;;;;;;;;;;;;;
"Actinobacteria;c__Actinobacteria;f__Geodermatophilaceae;g__Geodermatophilus";0;0;0;0;0;0;0.000375;0;0;0;0;0;4.16666E-05;0;0;;;;;;;;;;;;;
"Actinobacteria;c__Actinobacteria;f__Gordoniaceae;g__Gordonia";0.000125;0;0;0;0;0;0;4.16666E-05;0.000125;0.001125;0.00075;8.33332E-05;0;0;0.001458333;;;;;;;;;;;;;
"Actinobacteria;c__Actinobacteria;f__Intrasporangiaceae";0;0;0;0;0;4.16666E-05;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
"Actinobacteria;c__Actinobacteria;f__Intrasporangiaceae;g__Phycicoccus";0;0;0;0;0;0;0.000166667;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
"Actinobacteria;c__Actinobacteria;f__Jonesiaceae";4.16666E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
"Actinobacteria;c__Actinobacteria;f__Jonesiaceae;g__Jonesia";0;0;0;0;0;0;8.33334E-05;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
"Actinobacteria;c__Actinobacteria;f__Kineosporiaceae";0.000125;0;0;0;0;8.33334E-05;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
"Actinobacteria;c__Actinobacteria;f__Microbacteriaceae";4.16666E-05;4.16666E-05;0;0;0;0;0.008041667;0;4.16666E-05;4.16666E-05;8.33334E-05;0.000333333;4.16666E-05;8.33334E-05;4.16666E-05;;;;;;;;;;;;;
"Actinobacteria;c__Actinobacteria;f__Microbacteriaceae;g__Agromyces";0;0;0;0;0;0;0;0;0;8.33334E-05;8.33334E-05;0;0;0;0.000166667;;;;;;;;;;;;;
"Actinobacteria;c__Actinobacteria;f__Microbacteriaceae;g__Leucobacter";0.000166667;0;0;0;4.16666E-05;0.000125;0;0.000125;0.0005;0.000541667;0.00075;0.000541666;8.33334E-05;0.001;0.001083333;;;;;;;;;;;;;
"Actinobacteria;c__Actinobacteria;f__Microbacteriaceae;g__Microbacterium";8.33334E-05;4.16666E-05;0;4.16666E-05;0;0.000208333;4.16666E-05;4.16666E-05;4.16666E-05;0.000208333;0.000125;8.33334E-05;0;0.000375;0.000125;;;;;;;;;;;;;
"Actinobacteria;c__Actinobacteria;f__Micrococcaceae";8.33334E-05;0;0;0;0;0;0.000208333;0;0;0;8.33334E-05;4.16666E-05;0;0;0;;;;;;;;;;;;;
"Actinobacteria;c__Actinobacteria;f__Micrococcaceae;g__Arthrobacter";0.000291667;0.000125;0;0;0;0.000625;0.000125;0;0;0;0.001041667;8.33332E-05;0;0;0;;;;;;;;;;;;;
"Actinobacteria;c__Actinobacteria;f__Micrococcaceae;g__Citricoccus";0;0;0;0;0;0;0;0;0;4.16666E-05;0;0;0;0;0;;;;;;;;;;;;;
