Taxa;Fish_FreshDiet;Fish_ConditionedDiet;Fish_AnteriorMidgut;Fish_MiddleMidgut;Fish_PosteriorMidgut;VegMix_FreshDiet;VegMix_ConditionedDiet;VegMix_AnteriorMidgut;VegMix_MiddleMidgut;VegMix_PosteriorMidgut;Standard_FreshDiet;Standard_ConditionedDiet;Standard_AnteriorMidgut;Standard_MiddleMidgut;Standard_PosteriorMidgut;;;;;;;;;;;;;
"Firmicutes;c__Bacilli;f__Bacillaceae;g__Oceanobacillus";0.002875;0;0;0;0;0;0;4.16666E-05;0;0;0.000125;0;8.33332E-05;0;4.16666E-05;;;;;;;;;;;;;
"Firmicutes;c__Bacilli;f__Bacillaceae;g__Virgibacillus";0.001291667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
"Firmicutes;c__Bacilli;f__Carnobacteriaceae";0.003625;0.000125;0.000166666;8.33332E-05;0;0.000583333;0.000125;0;8.33332E-05;0.000375;0;0;0;0.000166667;0.000458333;;;;;;;;;;;;;
"Firmicutes;c__Bacilli;f__Carnobacteriaceae;g__Alloiococcus";4.16666E-05;0;0;0;0;0;0.000166667;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
"Firmicutes;c__Bacilli;f__Carnobacteriaceae;g__Carnobacterium";0.001083333;0;4.16666E-05;0;0;0;0.001333333;0;4.16666E-05;0;4.16666E-05;0;0;0;0;;;;;;;;;;;;;
"Firmicutes;c__Bacilli;f__Carnobacteriaceae;g__Desemzia";8.33334E-05;0.001583334;0.001708333;0.001625;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
"Firmicutes;c__Bacilli;f__Carnobacteriaceae;g__Granulicatella";0;0;0;0;0;0.000125;0;0;0;4.16666E-05;0;0;0;0;0;;;;;;;;;;;;;
"Firmicutes;c__Bacilli;f__Carnobacteriaceae;g__Trichococcus";8.33334E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
"Firmicutes;c__Bacilli;f__Enterococcaceae";0.000416667;0.002833333;0.010333333;0.020791667;4.16666E-05;4.16666E-05;0.000166667;0.000125;0.000125;0.00175;0.001333333;0.001791667;0.000125;0;0.001541667;;;;;;;;;;;;;
"Firmicutes;c__Bacilli;f__Enterococcaceae;g__Enterococcus";0.000875;0.000708333;0.008333333;0.012125;0.004208333;0.001;0.006708333;0.000875;0.001875;0.0065;0.019125;0.012666667;0.0025;0.001833333;0.008583333;;;;;;;;;;;;;
"Firmicutes;c__Bacilli;f__Enterococcaceae;g__Vagococcus";0.009666667;0.006666666;0.063333333;0.117833333;0.005875;0.001833333;0.014166667;0.004958333;0.005625;0.281375;0.040666667;0.009;0.005208333;0.006041667;0.258666667;;;;;;;;;;;;;
"Firmicutes;c__Bacilli;f__Exiguobacteraceae;g__Exiguobacterium";0.00025;0.000416666;8.33332E-05;0;4.16666E-05;0.000458333;0.001625;0;4.16666E-05;4.16666E-05;0;0;0;0;0;;;;;;;;;;;;;
"Firmicutes;c__Bacilli;f__Gemellaceae;g__Gemella";4.16666E-05;0;0;0;0;0;0;4.16666E-05;0;8.33332E-05;0;0;0;4.16666E-05;4.16666E-05;;;;;;;;;;;;;
"Firmicutes;c__Bacilli;f__Haloplasmataceae";0;0;0;0;0;0;0;0;0;0;4.16666E-05;0;0;0;0;;;;;;;;;;;;;
"Firmicutes;c__Bacilli;f__Haloplasmataceae;g__Haloplasma";4.16666E-05;4.16666E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
"Firmicutes;c__Bacilli;f__Lactobacillaceae";0;0;0;0;0;0;0;0;0;0;0.00025;4.16666E-05;0;0;0;;;;;;;;;;;;;
"Firmicutes;c__Bacilli;f__Lactobacillaceae;g__Lactobacillus";0.010625;0.000375;0.000125;8.33332E-05;0;0.029791667;0.35825;0.008666667;0.000666667;0.001208333;0.007083333;0.000958333;0.001041667;0.000666667;0.000458333;;;;;;;;;;;;;
"Firmicutes;c__Bacilli;f__Lactobacillaceae;g__Pediococcus";0.000166667;0;0;0;0;0;0.000291667;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
"Firmicutes;c__Bacilli;f__Leuconostocaceae;g__Leuconostoc";4.16666E-05;0;0;0;0;0.000375;0.000458333;0;0;0.000291667;4.16666E-05;0;4.16666E-05;8.33334E-05;4.16666E-05;;;;;;;;;;;;;
"Firmicutes;c__Bacilli;f__Leuconostocaceae;g__Weissella";0.000291667;0;0;0;0;0.0005;0.000166667;0.000166667;0.0005;0;0.001958333;0.00025;0.000125;0.002541667;0;;;;;;;;;;;;;
"Firmicutes;c__Bacilli;f__Listeriaceae;g__Brochothrix";0;0;0;0;0;0;0.000208333;0;0;4.16666E-05;0;0;0;0;4.16666E-05;;;;;;;;;;;;;
"Firmicutes;c__Bacilli;f__Paenibacillaceae";0;0;0;0;0;0;0;0;0;0;4.16666E-05;4.16666E-05;4.16666E-05;0;0;;;;;;;;;;;;;
"Firmicutes;c__Bacilli;f__Paenibacillaceae;g__Ammoniphilus";0;0;0;0;0;0;0;0;0;0;0;0;0;4.16666E-05;0;;;;;;;;;;;;;
"Firmicutes;c__Bacilli;f__Paenibacillaceae;g__Aneurinibacillus";0.001166667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
"Firmicutes;c__Bacilli;f__Paenibacillaceae;g__Brevibacillus";0.00025;0;0;0;0;0;0;0;0;4.16666E-05;4.16666E-05;0;0;0;0;;;;;;;;;;;;;
"Firmicutes;c__Bacilli;f__Paenibacillaceae;g__Cohnella";0;0;0;0;0;8.33334E-05;0;4.16666E-05;0;0;0.000166666;8.33332E-05;8.33332E-05;0.000125;0;;;;;;;;;;;;;
"Firmicutes;c__Bacilli;f__Paenibacillaceae;g__Paenibacillus";0.000166667;4.16666E-05;0;0;0;0.000291667;0.000166667;0.000791666;0.010375;0.000875;0.014666667;0.014791666;0.0175;0.004208333;0.001416667;;;;;;;;;;;;;
"Firmicutes;c__Bacilli;f__Planococcaceae";0.154875;0.265208333;0.083916666;0.07625;0.000125;0.000375;0.000833333;0.000416667;0.005083333;0.001125;0.0085;0.003916667;0.010916667;0.004458333;0.021875;;;;;;;;;;;;;
"Firmicutes;c__Bacilli;f__Planococcaceae;g__Kurthia";0.00175;8.33332E-05;0;0;0;0;0;0;0;0;0.00025;0.000166667;0.00025;4.16666E-05;0;;;;;;;;;;;;;
"Firmicutes;c__Bacilli;f__Planococcaceae;g__Lysinibacillus";0.001875;0.000208333;0;0;4.16666E-05;0.000125;0;4.16666E-05;0.000333333;0;0.001291666;0.000916667;0.00225;0.000291667;0.000208333;;;;;;;;;;;;;
"Firmicutes;c__Bacilli;f__Planococcaceae;g__Paenisporosarcina";0;0.000291667;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
"Firmicutes;c__Bacilli;f__Planococcaceae;g__Planococcus";0;0;0;0;0;0;0;0;0;0;0;4.16666E-05;0;0;0;;;;;;;;;;;;;
"Firmicutes;c__Bacilli;f__Planococcaceae;g__Planomicrobium";0.00125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
"Firmicutes;c__Bacilli;f__Planococcaceae;g__Rummeliibacillus";0.007791667;4.16666E-05;0;0.000125;0;0;4.16666E-05;8.33332E-05;0.00075;4.16666E-05;0.002541667;0.00025;0.0015;0.000708333;0.000291666;;;;;;;;;;;;;
"Firmicutes;c__Bacilli;f__Planococcaceae;g__Solibacillus";4.16666E-05;0.001416667;0.000291667;0.000666667;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
"Firmicutes;c__Bacilli;f__Planococcaceae;g__Sporosarcina";0.006333333;0.004833334;0.002791667;0.001;0;0;0;0;4.16666E-05;0;0;0;0;8.33334E-05;0;;;;;;;;;;;;;
"Firmicutes;c__Bacilli;f__Planococcaceae;g__Ureibacillus";0.020083333;0.000166667;8.33332E-05;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
"Firmicutes;c__Bacilli;f__Planococcaceae;g__Viridibacillus";4.16666E-05;0.001916667;0.000125;0.00025;0;0;0;0;0;0;8.33332E-05;0;0;0;0;;;;;;;;;;;;;
"Firmicutes;c__Bacilli;f__Staphylococcaceae";0.000625;0;0;0;0;0;0;0;0;8.33332E-05;0;0;0;0;8.33334E-05;;;;;;;;;;;;;
"Firmicutes;c__Bacilli;f__Staphylococcaceae;g__Jeotgalicoccus";0.000958333;0;0;0;0;0;4.16666E-05;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
"Firmicutes;c__Bacilli;f__Staphylococcaceae;g__Macrococcus";0.003833333;0;0;0;0;4.16666E-05;0;0;0;0;0;0;4.16666E-05;0;0;;;;;;;;;;;;;
"Firmicutes;c__Bacilli;f__Staphylococcaceae;g__Staphylococcus";0.006833333;0.000291666;0.00025;0.000291667;0.000208333;0.009166667;0.007916667;0.00025;0.001166667;0.003541667;0.000791667;4.16666E-05;0.000166667;0.018625;0.004333333;;;;;;;;;;;;;
"Firmicutes;c__Bacilli;f__Streptococcaceae";0;0;0;0;0;0;0.000666667;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
"Firmicutes;c__Bacilli;f__Streptococcaceae;g__Lactococcus";0.000125;0;0;0;0;0.000125;0.003;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
"Firmicutes;c__Bacilli;f__Streptococcaceae;g__Streptococcus";0.001166667;4.16666E-05;0.000125;4.16666E-05;4.16666E-05;0.009;0.011458333;0.000208333;0.000375;0.004791667;0.000333333;0;8.33332E-05;0.001208333;0.001541667;;;;;;;;;;;;;
"Firmicutes;c__Clostridia";0.001708333;0.003708333;0.00125;0.000625;0;8.33332E-05;0.01125;0.001625;0.000875;0;0.009375;8.33332E-05;0.000166666;0.000875;0;;;;;;;;;;;;;
"Firmicutes;c__Clostridia;f__Catabacteriaceae";0;0;0;0;0;0;0;0;0;8.33334E-05;0;0;0;0;0;;;;;;;;;;;;;
"Firmicutes;c__Clostridia;f__Clostridiaceae";0.001125;0.000875;4.16666E-05;0.000208333;0;0;0.000416667;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
"Firmicutes;c__Clostridia;f__Clostridiaceae;g__Alkaliphilus";0.000166667;0;0;0;0;0;0;0;0;0.000208333;8.33332E-05;4.16666E-05;0;8.33332E-05;0.000125;;;;;;;;;;;;;
"Firmicutes;c__Clostridia;f__Clostridiaceae;g__Caloramator";0.000208333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
"Firmicutes;c__Clostridia;f__Clostridiaceae;g__Caminicella";4.16666E-05;0;0;0;0;0;0;0;4.16666E-05;0;0.000875;4.16666E-05;0;4.16666E-05;0;;;;;;;;;;;;;
"Firmicutes;c__Clostridia;f__Clostridiaceae;g__Clostridium";0.019;0.091375;0.005958333;0.007708333;0.000208333;0.00025;0.00725;8.33332E-05;0.00025;4.16666E-05;0.002083333;0.000333333;0.000166667;0.000458333;0.000125;;;;;;;;;;;;;
"Firmicutes;c__Clostridia;f__Clostridiaceae;g__Natronincola";0;0;0;0;0;0;0;0;4.16666E-05;0;0;0;0;4.16666E-05;0;;;;;;;;;;;;;
"Firmicutes;c__Clostridia;f__ClostridialesFamilyXI,IncertaeSedis";0.030916667;0.110416667;0.03975;0.048458333;0.001125;4.16666E-05;0;0;4.16666E-05;8.33332E-05;0.000125;0;0;0;0.00025;;;;;;;;;;;;;
"Firmicutes;c__Clostridia;f__ClostridialesFamilyXI,IncertaeSedis;g__Anaerococcus";0.003083333;0.007041667;0.077833333;0.083;0.000125;0.001916667;0.000708333;0;4.16666E-05;8.33332E-05;4.16666E-05;0;0;4.16666E-05;8.33334E-05;;;;;;;;;;;;;
"Firmicutes;c__Clostridia;f__ClostridialesFamilyXI,IncertaeSedis;g__Clostridium";0.001916667;0.015375;0.002833334;0.004416667;8.33332E-05;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
"Firmicutes;c__Clostridia;f__ClostridialesFamilyXI,IncertaeSedis;g__Finegoldia";4.16666E-05;0;0;0;0;0;8.33334E-05;0;0;0;0;0;0;8.33332E-05;0;;;;;;;;;;;;;
"Firmicutes;c__Clostridia;f__ClostridialesFamilyXI,IncertaeSedis;g__Peptoniphilus";0.006791667;0.033583333;0.168208333;0.188375;0.00025;4.16666E-05;0;0;0;8.33334E-05;0;0;0;0.00025;0;;;;;;;;;;;;;
"Firmicutes;c__Clostridia;f__ClostridialesFamilyXI,IncertaeSedis;g__Sedimentibacter";0;0;0;0;0;0;0;0;4.16666E-05;0;0.002375;8.33332E-05;0;4.16666E-05;0;;;;;;;;;;;;;
"Firmicutes;c__Clostridia;f__ClostridialesFamilyXI,IncertaeSedis;g__Sporanaerobacter";0.005583333;0.022666667;0.000333333;8.33334E-05;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
"Firmicutes;c__Clostridia;f__ClostridialesFamilyXI,IncertaeSedis;g__Tepidimicrobium";0.005583334;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
"Firmicutes;c__Clostridia;f__ClostridialesFamilyXI,IncertaeSedis;g__Tissierella";0.0095;0.062791667;0.015125;0.016833333;0;4.16666E-05;4.16666E-05;4.16666E-05;0.001458333;0.001291667;0.003125;0.000541667;8.33332E-05;0.001625;0.000333333;;;;;;;;;;;;;
"Firmicutes;c__Clostridia;f__ClostridialesFamilyXIII,IncertaeSedis";0.000875;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
"Firmicutes;c__Clostridia;f__ClostridialesFamilyXIII,IncertaeSedis;g__Anaerovorax";0.000875;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
"Firmicutes;c__Clostridia;f__ClostridialesFamilyXIII,IncertaeSedis;g__Eubacterium";0.005125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
"Firmicutes;c__Clostridia;f__Eubacteriaceae";0;0;0;0;0;0;0;0;0;0;0;0;0;8.33334E-05;0;;;;;;;;;;;;;
"Firmicutes;c__Clostridia;f__Eubacteriaceae;g__Eubacterium";8.33334E-05;4.16666E-05;0;4.16666E-05;4.16666E-05;0.000166667;4.16666E-05;4.16666E-05;4.16666E-05;0;0;0;0;4.16666E-05;0;;;;;;;;;;;;;
"Firmicutes;c__Clostridia;f__Lachnospiraceae";0.012791667;4.16666E-05;0;0.000125;0;0.005916667;0.044666667;0.000458333;0.004333334;0.001375;0.0155;0.002125;0.000833334;0.0065;0.000708333;;;;;;;;;;;;;
"Firmicutes;c__Clostridia;f__Lachnospiraceae;g__Anaerostipes";0;0;0;0;0;0;0;0;0.000291667;0;0.000541667;4.16666E-05;0;0.000208333;8.33332E-05;;;;;;;;;;;;;
"Firmicutes;c__Clostridia;f__Lachnospiraceae;g__Blautia";4.16666E-05;0;0;0;0;0.000208333;0.018416667;8.33332E-05;0;0;4.16666E-05;4.16666E-05;0;0;8.33332E-05;;;;;;;;;;;;;
"Firmicutes;c__Clostridia;f__Lachnospiraceae;g__Clostridium";4.16666E-05;8.33334E-05;0;8.33332E-05;0;0.000416667;0.001125;4.16666E-05;0.000166667;4.16666E-05;0.001166667;0.000208333;0.000125;0.000208333;0.000166667;;;;;;;;;;;;;
"Firmicutes;c__Clostridia;f__Lachnospiraceae;g__Coprococcus";0;0;0;0;0;0.00025;0.00475;4.16666E-05;0.000708333;0.0005;0.005958333;0.00175;0.000833333;0.001833333;0.000333333;;;;;;;;;;;;;
"Firmicutes;c__Clostridia;f__Lachnospiraceae;g__Dorea";8.33334E-05;0;0;0;0;0.000125;0.000791667;0;0;0;4.16666E-05;0;0;0;0;;;;;;;;;;;;;
"Firmicutes;c__Clostridia;f__Lachnospiraceae;g__Epulopiscium";4.16666E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
"Firmicutes;c__Clostridia;f__Lachnospiraceae;g__Eubacterium";0;0;0;0;0;0;0.001583333;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
"Firmicutes;c__Clostridia;f__Lachnospiraceae;g__Lachnospira";0;0;0;0;0;4.16666E-05;0.000125;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
"Firmicutes;c__Clostridia;f__Lachnospiraceae;g__Moryella";0;0;0;0;0;0;0;0;0;0;0;0;0;4.16666E-05;0;;;;;;;;;;;;;
"Firmicutes;c__Clostridia;f__Lachnospiraceae;g__Oribacterium";0.007833333;0;0;0;0;0;8.33334E-05;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
"Firmicutes;c__Clostridia;f__Lachnospiraceae;g__Pseudobutyrivibrio";0;0;0;0;0;0.000166667;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
"Firmicutes;c__Clostridia;f__Lachnospiraceae;g__Roseburia";0;0;0;4.16666E-05;4.16666E-05;0.003583333;0.004083333;0;0;8.33334E-05;0.000166667;0;0;8.33332E-05;0;;;;;;;;;;;;;
"Firmicutes;c__Clostridia;f__Lachnospiraceae;g__Ruminococcus";0;0;0;0;0;0.000166667;0.002333333;0;0;0;8.33332E-05;0;4.16666E-05;0.000166667;8.33332E-05;;;;;;;;;;;;;
"Firmicutes;c__Clostridia;f__ML1228J-1";0;0;0;0;0;0;8.33334E-05;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
"Firmicutes;c__Clostridia;f__Peptococcaceae;g__Desulfotomaculum";0;0;0;0;0;0;0;0;0;0;4.16666E-05;0;0;0;0;;;;;;;;;;;;;
"Firmicutes;c__Clostridia;f__Peptostreptococcaceae;g__Filifactor";0;0;0;0;0;0;0.000208333;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
"Firmicutes;c__Clostridia;f__Peptostreptococcaceae;g__Peptostreptococcus";0.002791667;0;0;0;0;0;0;4.16666E-05;0;0;0;0;0;0;0;;;;;;;;;;;;;
"Firmicutes;c__Clostridia;f__Ruminococcaceae";0.005625;0.000166666;0;4.16666E-05;0;0.000166667;0.00325;8.33332E-05;0.000166667;0;0.001625;4.16666E-05;8.33332E-05;0.000291667;0;;;;;;;;;;;;;
"Firmicutes;c__Clostridia;f__Ruminococcaceae;g__Anaerofilum";0;0;0;0;0;0;0.000458333;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
"Firmicutes;c__Clostridia;f__Ruminococcaceae;g__Anaerotruncus";0;0;0;0;0;0;0;0;4.16666E-05;0;0.000291667;0;0;4.16666E-05;0;;;;;;;;;;;;;
"Firmicutes;c__Clostridia;f__Ruminococcaceae;g__Bacteroides";0;0;0;0;0;0;0.000583333;0;0;0;8.33334E-05;0;0;0;0;;;;;;;;;;;;;
"Firmicutes;c__Clostridia;f__Ruminococcaceae;g__Clostridium";0;0;4.16666E-05;0;0;4.16666E-05;0.002958333;8.33332E-05;0.000208333;0.000166667;0.001208334;0.000375;4.16666E-05;0.000416667;0;;;;;;;;;;;;;
"Firmicutes;c__Clostridia;f__Ruminococcaceae;g__Eubacterium";0;0;0;0;0;0;0.00075;0;0;0;4.16666E-05;0;0;0;0;;;;;;;;;;;;;
"Firmicutes;c__Clostridia;f__Ruminococcaceae;g__Faecalibacterium";0;4.16666E-05;0;8.33334E-05;0;8.33332E-05;0.000875;0;8.33334E-05;4.16666E-05;0;0;4.16666E-05;4.16666E-05;0;;;;;;;;;;;;;
"Firmicutes;c__Clostridia;f__Ruminococcaceae;g__Oscillospira";0;0;0;0;0;8.33332E-05;0.000541667;0;4.16666E-05;0;0.000541667;4.16666E-05;0;0;0;;;;;;;;;;;;;
"Firmicutes;c__Clostridia;f__Ruminococcaceae;g__Ruminococcus";0;0;0;0;0;0;0.000833333;0;0;0;0;0;0;0;4.16666E-05;;;;;;;;;;;;;
"Firmicutes;c__Clostridia;f__Ruminococcaceae;g__Subdoligranulum";0;0;0;0;0;8.33332E-05;0.003;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
"Firmicutes;c__Clostridia;f__Thermoanaerobacteraceae;g__Caldanaerobacter";0.000166667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
"Firmicutes;c__Clostridia;f__Thermoanaerobacteraceae;g__Tepidanaerobacter";0.001125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
"Firmicutes;c__Clostridia;f__Thermodesulfobiaceae;g__Coprothermobacter";0.000125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
"Firmicutes;c__Clostridia;f__Veillonellaceae";0.000666667;0;0;0;0;0;0;4.16666E-05;8.33332E-05;0;0.000833333;0;4.16666E-05;0.000125;0;;;;;;;;;;;;;
"Firmicutes;c__Clostridia;f__Veillonellaceae;g__Acidaminococcus";0.000208333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
"Firmicutes;c__Clostridia;f__Veillonellaceae;g__Anaeroglobus";0;4.16666E-05;8.33332E-05;4.16666E-05;4.16666E-05;0.000166667;4.16666E-05;0;4.16666E-05;4.16666E-05;4.16666E-05;0.000125;4.16666E-05;4.16666E-05;0;;;;;;;;;;;;;
"Firmicutes;c__Clostridia;f__Veillonellaceae;g__Anaerospora";0;0;0;0;0;0;0;0;0;0;0.00025;0;0;0;0;;;;;;;;;;;;;
"Firmicutes;c__Clostridia;f__Veillonellaceae;g__Desulfosporomusa";0;0;0;0;0;0;0;0;0;0;8.33332E-05;0;0;4.16666E-05;0;;;;;;;;;;;;;
"Firmicutes;c__Clostridia;f__Veillonellaceae;g__Dialister";4.16666E-05;0;0;0;8.33334E-05;0;0;0;0;0;0;0;0;4.16666E-05;0;;;;;;;;;;;;;
"Firmicutes;c__Clostridia;f__Veillonellaceae;g__Megasphaera";8.33334E-05;0;0;4.16666E-05;0;0;4.16666E-05;0;0;0;0;0;4.16666E-05;4.16666E-05;0;;;;;;;;;;;;;
"Firmicutes;c__Clostridia;f__Veillonellaceae;g__Phascolarctobacterium";4.16666E-05;0;0;0;0;8.33334E-05;0;4.16666E-05;0;0;0;0;4.16666E-05;0;0;;;;;;;;;;;;;
"Firmicutes;c__Clostridia;f__Veillonellaceae;g__Selenomonas";0;0;0;0;0;8.33334E-05;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
"Firmicutes;c__Clostridia;f__Veillonellaceae;g__Veillonella";0.000958333;0;0;0;0;0.000666667;0.000666667;0;0.000166667;0.000125;4.16666E-05;0;0;4.16666E-05;0;;;;;;;;;;;;;
"Fusobacteria;c__Fusobacteria;f__Fusobacteriaceae";0.000708333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
"Fusobacteria;c__Fusobacteria;f__Fusobacteriaceae;g__Cetobacterium";0.007583334;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
"Fusobacteria;c__Fusobacteria;f__Fusobacteriaceae;g__Fusobacterium";0.004375;0;0;0;0;0.000916667;4.16666E-05;0;0;4.16666E-05;0;0;0;0;8.33334E-05;;;;;;;;;;;;;
"Fusobacteria;c__Fusobacteria;f__Fusobacteriaceae;g__J2-29";0.01725;0;0;0;0;4.16666E-05;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
"Fusobacteria;c__Fusobacteria;f__Fusobacteriaceae;g__Leptotrichia";0;0;0;0;0;0.000541667;0;0;8.33334E-05;0;0;0;0;0;0.000166667;;;;;;;;;;;;;
"Fusobacteria;c__Fusobacteria;f__Fusobacteriaceae;g__Propionigenium";0.007333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
"Fusobacteria;c__Fusobacteria;f__Fusobacteriaceae;g__u114";0.000208333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
"Gemmatimonadetes;c__Gemmatimonadetes";4.16666E-05;0;0;0;0;0.000208333;0.000333333;0;0;4.16666E-05;0;4.16666E-05;0;0;0;;;;;;;;;;;;;
"Gemmatimonadetes;c__Gemmatimonadetes;f__Gemmatimonadaceae";0;0;0;0;0;0;0;0;0;0.000166667;0;0;0;0;0;;;;;;;;;;;;;
"Nitrospirae;c__Nitrospira;f__Nitrospiraceae;g__Nitrospira";4.16666E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
"Planctomycetes;c__PW285";4.16666E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
"Planctomycetes;c__Planctomycea";0.00025;0;4.16666E-05;0;4.16666E-05;4.16666E-05;0.0005;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
"Planctomycetes;c__Planctomycea;f__Gemmataceae";0;0;0;0;0;0;0.000166667;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
"Planctomycetes;c__Planctomycea;f__Gemmataceae;g__Gemmata";0.000125;0;0;0;0;0;0.001125;0;0;0;4.16666E-05;0;0;4.16666E-05;0;;;;;;;;;;;;;
"Planctomycetes;c__Planctomycea;f__Isosphaeraceae;g__Singulisphaera";0;0;0;4.16666E-05;0;0;0.00025;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
"Planctomycetes;c__Planctomycea;f__Isosphaeraceae;g__Singulisphaera";0;0;0;0;0;0;0;0;0;4.16666E-05;0;0;0;0;0;;;;;;;;;;;;;
"Planctomycetes;c__Planctomycea;f__Pirellulaceae;g__A17";0;0;0;0;0;0;0;0;0;0.000125;0;0;0;0;0;;;;;;;;;;;;;
"Planctomycetes;c__Planctomycea;f__Pirellulaceae;g__Pirellula";0;0;0;0;0;0;0.0005;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
Proteobacteria;0.000208333;0.000125;0;0;0;0.678833334;0.0885;0.000291667;0.000208333;0.0005;0.001083333;0.002333334;0.000958333;0.000125;0.002708333;;;;;;;;;;;;;
"Proteobacteria;c__Alphaproteobacteria";4.16666E-05;0;0;0;0;0.000125;0.000625;0.000583334;0.001125;0.000958333;0.002166667;0.001875;0.0005;0.002375;0.00125;;;;;;;;;;;;;
"Proteobacteria;c__Alphaproteobacteria;f__;g__Caedibacter";0;0;0;0;0;0;0.000125;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
"Proteobacteria;c__Alphaproteobacteria;f__Acetobacteraceae";4.16666E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
"Proteobacteria;c__Alphaproteobacteria;f__Acetobacteraceae;g__Acetobacter";0.004375;4.16666E-05;4.16666E-05;4.16666E-05;0;0.009291667;0.031291667;0;0.00025;0.000666667;0;0;0;0.000208333;0.0005;;;;;;;;;;;;;
"Proteobacteria;c__Alphaproteobacteria;f__Acetobacteraceae;g__Acidocella";0.000125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
"Proteobacteria;c__Alphaproteobacteria;f__Acetobacteraceae;g__Gluconacetobacter";0;0;0;0;0;0;0;0;0;0;0;4.16666E-05;0;0;0;;;;;;;;;;;;;
"Proteobacteria;c__Alphaproteobacteria;f__Acetobacteraceae;g__Gluconobacter";0.000416667;0;0;0;0;0.000833333;0.003833333;0.000291666;8.33332E-05;0;0;0;0;0;0;;;;;;;;;;;;;
"Proteobacteria;c__Alphaproteobacteria;f__Acetobacteraceae;g__Roseomonas";8.33332E-05;0;0;0;0;4.16666E-05;0;0.000125;0.000125;0;0.000458333;8.33332E-05;8.33332E-05;0.000125;0;;;;;;;;;;;;;
"Proteobacteria;c__Alphaproteobacteria;f__Aurantimonadaceae";0;0;0;0;0;0.003791667;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
